Year,BT,Post,Treat,GDP,ER,IR,FDI
1995,0.542,0,1,17.63536305,804.6908201,19.68536442,0.951
1996,0.348,0,1,18.7367155,921.0216667,13.72521226,1.598
1997,0.287,0,1,17.47011857,1259.979167,19.35281673,0.91
1998,0.257,0,1,12.80177839,3298.333333,84.5044589,0.459
1999,0.317,0,1,14.54430642,7102.025,127.9739664,0.789
2000,0.408,0,1,17.31198022,7887.643333,24.79777661,0.3389
2001,0.619,0,1,17.68619058,8954.583333,8.868073804,0.239042841
2002,0.640,0,1,17.58176653,10056.33333,6.318464741,0.04451297
2003,1.094,0,1,20.23324407,10569.0375,13.45008984,0.194840008
2004,1.135,0,1,23.6639812,10585.375,10.69042854,0.16917263
2005,1.289,0,1,27.35558735,10655.16667,8.640322481,0.2772
2006,2.184,0,1,34.55030061,10153.62408,10.80510123,1.87310641
2007,2.639,0,1,42.23152739,9602.728818,7.438286005,3.2352
2008,4.024,0,1,54.46433157,8740.181403,8.863450638,2.2777
2009,7.440,0,1,58.3613733,8511.351163,-2.932073532,3.185982091
2010,10.851,0,1,71.31771015,8254.16303,9.196571111,2.788059031
2011,13.038,0,1,87.50104617,8029.262555,10.4687176,3.007435071
2012,17.249,0,1,101.9284634,8006.582032,7.528859305,6.177553945
2013,27.327,0,1,119.8325263,7833.22999,6.473972083,6.813972571
2014,36.174,0,1,132.7924589,8042.42157,5.726559182,8.676461217
2015,27.731,0,1,144.2638013,8127.610598,2.348496007,10.77759915
2016,23.466,0,1,159.1250172,8124.366756,3.022306443,9.352961728
2017,30.243,0,1,170.7115548,8244.843189,1.852096761,16.93080811
2018,34.721,0,1,181.4164109,8401.334766,1.919889194,13.58019506
2019,39.195,0,1,187.4056151,8679.409093,1.197423921,7.555241242
2020,35.797,0,1,189.8180525,9045.787834,5.034504125,9.677060862
2021,43.406,0,1,188.2714853,9697.915789,3.713448367,10.71913716
2022,56.824,0,1,154.687852,14035.22669,15.77394592,6.35807276
2023,71.000,1,1,158.4315573,17688.87359,24.42172021,8.453
1995,7.67316,0,0,52.89174943,5.667041667,17.04019542,17.804
1996,6.58518,0,0,61.23556717,5.917566667,8.696767117,23.95
1997,6.43507,0,0,47.22288496,6.241833333,6.597404782,22.2
1998,5.7636,0,0,64.59461639,6.343158333,8.837864128,16.71
1999,5.08168,0,0,84.86832801,6.285791667,5.734702829,14.12
2000,6.21263,0,0,89.05066164,6.516725,3.408827665,12.98
2001,6.31537,0,0,64.77790688,6.748908333,2.622264784,13
2002,8.61636,0,0,67.77632512,6.642083333,4.698928162,14
2003,10.79744,0,0,104.6710998,6.138925,7.109602463,14.5
2004,11.45376,0,0,105.6735406,5.805833333,8.433312132,16.1
2005,12.09242,0,0,119.8697242,5.818166667,18.81051957,19.54
2006,14.60068,0,0,145.0255371,5.842941667,8.568947976,24
2007,20.78258,0,0,201.8247748,5.616883333,9.630225612,67
2008,26.25315,0,0,318.625541,5.44145,22.67331617,95.79
2009,29.07365,0,0,369.0618138,5.576366667,6.215623151,76
2010,44.41611,0,0,495.4081334,5.634883333,42.30326725,80
2011,65.0137,0,0,599.7732609,5.444108333,21.41367928,74.3
2012,69.71982,0,0,599.3779665,640.6534167,9.07766069,83.68
2013,101.95556,0,0,602.6973285,933.5704564,4.038523638,89
2014,249.68926,0,0,655.313742,984.3457476,3.698137968,92
2015,151.00206,0,0,596.0729041,1162.615329,-1.716511707,118
2016,122.8536,0,0,632.98362,1234.869517,1.819535928,126
2017,134.74812,0,0,660.5304048,1360.358707,4.362920148,141
2018,160.05751,0,0,678.6051599,1429.807975,3.6266473,155
2019,188.62792,0,0,750.6510623,1518.255117,2.423226942,161.2
2020,192.32317,0,0,790.0611364,1381.619167,1.467478148,158
2021,189.08495,0,0,663.4529116,1645,2.880767929,156.6
2022,251.09416,0,0,622.5304989,1851,4.051242317,179
2023,209.5,1,0,648.1503167,2099,1.906231302,165.64