Year,GM,EA,EEI,GEE,LGE,STE
2007,2.845346599,5935.6,5.4,44.97,181.22,15.8
2008,3.00464538,7223,5.6,64.29,234.99,17.64
2009,3.499338867,7147.6,6,70.61,278.07,17.61
2010,3.648037985,8903.9,6.4,82.37,328.58,20.12
2011,3.880790577,10894.4,7,82.18,421.79,27.17
2012,4.090013997,11683.1,7.6,88.17,558.03,33.32
2013,3.664109589,11987.2,8.8,98.16,542.44,62.06
2014,3.227669344,12094.7,9.4,95.26,507.28,54.26
2015,3.339344,11836.4,9.6,99.46,602.85,37.47
2016,2.670724565,11946.4,9.8,115.54,606.97,34.56
2017,2.550196779,14484.3,10.1,128.87,620.67,50.25
2018,2.52589852,15958.1,9,170.29,668.03,59.08
2019,2.295288456,16961.6,8,226.15,696.28,57.72
2020,2.078111975,17835.6,7.6,260.28,733.36,66.09
2021,1.803854839,22870.4,8.1,214.79,778,83.38
2022,1.714552172,25583.9,6.8,241.18,861.35,61.01
2023,1.709960159,25698.2,6.7,242.65,872.86,62.38
2007,2.141933106,5166.9,6.1,61.73,153.57,9.22
2008,2.072264803,6242.4,6.5,79.68,206.4,15.36
2009,2.116239231,7104.2,6.9,97.9,243.48,18.07
2010,2.232045465,8199.9,7.3,107.99,322.11,21.39
2011,2.257834193,9458.1,7.8,117.55,390.69,28.21
2012,2.169446426,10470.1,7.8,131.59,439.97,27.61
2013,2.225439167,11392.4,8.2,132.11,456.87,31.64
2014,2.264098204,12158.2,8.3,142.75,477.77,32.87
2015,2.093366214,12949,8.1,175.25,536.53,35.72
2016,1.829582576,13789.3,8.3,159.39,554.97,32.38
2017,1.94641263,14898.1,8.4,143.67,561.85,33.67
2018,2.06257485,16140.8,8.2,162.72,576.33,26.05
2019,1.944060645,17212.5,3.9,154.48,609.97,28.49
2020,2.068024199,17258,4.2,149.37,642.17,32.38
2021,2.355584683,21166,4.7,143.87,641.29,35.28
2022,2.334365766,23388.9,4.7,141.56,692.38,42.99
2023,2.293700787,24627,4.7,142.43,695.04,43.21
2007,4.742382785,22718.1,10.9,33.94,453.36,46.41
2008,4.849454275,27106.2,11.3,58.6,550.99,57.13
2009,5.584954623,29540.8,11.1,76.17,613.49,62.88
2010,5.538904264,33922.5,11.6,112.93,770.45,84.36
2011,5.606888737,39064.9,12,113.95,1047.9,108.62
2012,5.481341087,42957.3,12.5,154.42,1311.8,124.98
2013,5.376925409,47344.3,14.9,212.81,1399.67,149.14
2014,5.412893947,50774.8,16.8,166.67,1461.05,147.06
2015,5.468156965,55288.8,18.3,217.08,1690.62,159.05
2016,4.826332313,58762.5,17.6,239.28,1825.99,167
2017,4.65148521,63012.1,18.1,236.84,1890,195.77
2018,4.624006276,66648.9,20.4,287.2,2006.5,232.74
2019,4.326360475,70540.5,17.8,306.5,2156.14,305.76
2020,4.098243201,72798.2,17.7,291.54,2283.84,298.62
2021,4.056887915,82875.2,15.8,266.79,2411.09,372.32
2022,4.043982508,87576.9,15.7,218.1,2626.48,313.26
2023,4.116083916,92068.7,15.6,219.56,2683.28,328.43
2007,6.351939515,14824.5,10.8,60.92,366.12,25.23
2008,6.232732097,17735.9,11.6,75.85,444.03,30.44
2009,5.870590532,19181,11.5,92.98,526.14,35.52
2010,5.517177152,22655,12.2,96.38,609.37,44.67
2011,5.474615133,26318.7,12.9,95.6,857.14,56.59
2012,5.272982995,28961.9,13.1,109.45,1106.51,69.64
2013,5.171410365,31632.5,12.4,111.92,1171.52,80
2014,4.960458926,34574.8,13.2,119.95,1201.38,81.25
2015,4.928733439,37084.1,13.5,177.77,1271,83.25
2016,4.371681416,40249.3,13,195.72,1343.76,96.1
2017,4.145848375,44824.9,13.6,241.65,1493.11,137.94
2018,3.845011086,49935.9,13.4,358.7,1664.67,155.67
2019,3.139893662,53717.8,13.6,352.29,1810.71,211.07
2020,3.175111887,54259.4,15.2,272.63,1882.56,254.28
2021,3.144993179,58071.4,16.2,210.41,1786.41,329.25
2022,3.089645106,58220.1,16.2,183.19,1895.57,409.2
2023,3.174547983,59132.4,16.1,193.34,1913.57,414.38
2007,6.401700127,10562.1,8.1,71.16,292.86,20.78
2008,6.621411363,12756.2,8.3,79.15,369.28,25.82
2009,6.493331811,14190.6,9.2,114.47,451.44,28.64
2010,6.371934325,17224.8,9.8,112.99,540.65,34.71
2011,6.134866445,21050.9,10.1,115.8,684.66,45.75
2012,5.717809345,23922.4,10.6,135.94,993.2,59.4
2013,5.347449968,26518,12.1,159.95,1036.41,69.51
2014,5.022761417,28891.3,13.2,168.69,1056.91,81.76
2015,4.765190517,30342,12.8,169.31,1252.33,96.69
2016,3.913087787,33138.5,13,166.35,1301.85,101.09
2017,3.452861889,37905.1,12.7,197.75,1389.2,106.57
2018,3.14019088,42902.1,11.4,226.9,1461.78,147.91
2019,2.846724697,46363.8,9.8,267.01,1578.88,184.95
2020,2.662792077,48501.6,11,264.02,1686.16,181.7
2021,2.624335741,54088,10.8,218.55,1733.04,273.12
2022,2.666350052,56610.2,11.3,237.58,1865.04,229.12
2023,2.750671785,60132.9,11.6,241.37,1930.43,231.61
2007,6.563084904,5681.8,5.7,48.75,184.52,13.3
2008,7.092074354,7177.8,6,58.72,264.91,17.14
2009,7.377590721,7997.8,7.2,79.5,310.96,20.84
2010,7.30602326,9845.2,7.9,82.88,377.79,25.25
2011,7.13630824,12175.1,8.5,96.13,529.46,29.01
2012,6.599997964,14142.4,8.9,94.14,703.34,34.94
2013,5.903958091,15905.4,8.9,109.77,710.11,38.02
2014,5.428247152,17402.5,9.8,112.51,693.83,44.86
2015,5.177887943,17898.8,9.6,150.77,758.07,57.28
2016,4.384188224,19045.8,9.6,126.79,777.53,62.01
2017,3.910595285,21473.5,9.9,162.52,828.25,79.34
2018,3.503488372,23941.9,10.2,176.02,871.44,87.22
2019,3.275697073,25793.2,10.3,245.48,951.23,71.38
2020,2.894387562,26014.1,9.3,190.34,998.58,56.45
2021,2.83057561,30121.7,9.2,176.25,1025,93
2022,2.733096971,32838.2,9,232.01,1060.38,109.78
2023,2.670989761,33786.1,9.1,231.78,1131.93,112.37
2007,2.331596489,2675.1,3.4,33.6,123.97,7.31
2008,2.280289792,3071.7,3.6,46.85,182.93,9.47
2009,2.577226421,3268.3,3.4,53.15,206.36,10.18
2010,2.491613865,3943.7,3.4,68.31,228.23,10.89
2011,2.506836919,4816.9,4,84.99,284.33,13.22
2012,2.478315014,5393.1,5.2,72,367.92,16.19
2013,2.376119403,6014.5,5.4,69.82,377.06,19.76
2014,2.088134824,6518.4,5.9,73.21,401.26,21.16
2015,2.109743862,6556.6,5.9,95.35,498.33,29.85
2016,2.040049452,6907.9,5.9,95.25,548.95,26.23
2017,1.813249305,7336.7,6.4,102.2,567.35,25.83
2018,1.579141104,8104.1,6.4,127.82,592.96,25.74
2019,1.505088496,8718.3,6,106.52,636.05,29.39
2020,1.436497377,8979.7,4.5,114.03,662.99,32.07
2021,1.477065301,10225.5,4.9,82.1,661.92,34.95
2022,1.496618642,11121.4,5,113.21,699.58,47.69
2023,1.429491525,11863.8,4.8,115.27,702.47,48.28
2007,1.361076689,720.1,0.7,18.98,34.85,2.52
2008,1.15668693,896.9,0.9,19.55,48.81,3.97
2009,0.988371289,939.7,1,28.98,61.82,4.78
2010,1.006949579,1144.2,1.1,36.15,82.47,4.08
2011,1.029890402,1370.4,1,41.76,130.11,3.76
2012,0.986480702,1528.5,1,43.99,171.81,7.18
2013,0.955268817,1713.3,1,66.78,121.51,8.39
2014,1.084390938,1847.7,1,56.73,156.31,10.39
2015,1.11834754,2011,1,87.36,163.19,11.22
2016,0.964475897,2258.2,1.1,73.41,171.36,10.9
2017,0.93326787,2465.1,1.2,60.93,187.51,11.94
2018,0.919323671,2748,1.1,63.51,199.1,12.8
2019,0.773392106,2941.1,1,69.38,221.37,10.37
2020,0.834016781,3009.8,1.1,73.51,218.14,10.56
2021,0.900326667,3385.1,1,72.17,221.21,12.19
2022,0.858802502,3623.3,0.9,85.36,220.95,9.45
2023,0.742201835,3799.1,0.8,85.92,221.93,10.84
2007,1.330123688,877.6,1.8,12.76,47.31,4.79
2008,1.271503877,1139.2,1.9,17.51,54.06,4.33
2009,1.312164948,1266.7,1.8,22.59,63.5,4.4
2010,1.306089744,1571.7,1.8,30.79,81.59,5.97
2011,1.337961715,1931.8,1.8,35.23,103.02,7.87
2012,1.269495128,2131,2,35.37,106.45,9.61
2013,1.340767824,2327.7,2.1,32.93,112.95,10.69
2014,1.280888198,2473.9,2.1,34.6,122.68,11.66
2015,1.269505482,2579.4,2.3,45.49,142.51,17.25
2016,0.959570694,2781.4,2.3,36.69,152.57,18.26
2017,0.851925367,3200.3,2.3,57.61,170.65,25.55
2018,0.857425743,3510.2,2,72.38,170.47,34.02
2019,0.852545541,3748.5,1.7,54.04,179.33,31.26
2020,0.904716981,3956.3,1.6,49.48,208.42,27.91
2021,0.856455583,4588.2,1.5,47.71,200.01,29
2022,0.895197945,5104.6,1.8,58.2,212.35,25.56
2023,0.892647059,5315,1.6,59.18,213.27,26.32